TriggerID,GRBName,tmin,tmin_err,tmin_upp_lim,tS_N,tS_N_err,T90,T90_err,tStart,tStop,Xtmin,XtS_N,z
80714086,080714B,0.821,0.223,FALSE,0.522,0.045,5.376,2.360,-3.437,7.283,0.9,0.57,NA
80714425,080714C,1.984,1.040,FALSE,1.241,0.108,40.192,1.145,-22.987,55.766,0.64,0.4,NA
80714745,080714A,1.384,0.143,FALSE,0.620,0.054,59.649,11.276,-29.747,88.936,0.74,0.33,NA
80715950,080715A,0.101,NA,TRUE,0.011,0.001,7.872,0.272,-2.203,11.867,0.9,0.2,NA
80717543,080717A,0.568,0.194,FALSE,0.369,0.032,36.609,2.985,-23.414,49.420,0.53,0.34,NA
80719529,080719A,1.990,0.830,FALSE,1.241,0.108,16.128,17.887,-12.339,19.739,0.64,0.4,NA
80723557,080723B,0.040,0.017,FALSE,0.027,0.002,58.369,1.985,-0.180,89.694,0.22,0.15,NA
80723913,080723C,0.013,0.004,FALSE,0.008,0.001,0.192,0.345,-0.160,0.224,0.96,0.58,NA
80723985,080723D,0.309,NA,TRUE,0.065,0.006,42.817,0.659,-4.995,66.909,0.29,0.13,NA
80724401,080724A,0.129,NA,TRUE,0.016,0.001,379.397,2.202,-10.638,390.213,0.5,0.13,NA
80725435,080725A,1.700,NA,TRUE,0.439,0.038,25.920,1.208,-14.091,35.934,0.28,0.15,NA
80725541,080725B,0.266,NA,TRUE,0.065,0.006,0.960,1.292,-0.603,1.230,0.9,0.35,NA
80727964,080727C,0.883,NA,TRUE,0.369,0.032,89.089,6.476,-31.416,90.623,0.27,0.2,NA
80730520,080730A,0.794,NA,TRUE,0.184,0.016,17.408,6.229,-9.197,25.429,0.28,0.12,NA
80730786,080730B,0.297,NA,TRUE,0.046,0.004,13.312,4.222,-7.171,19.295,0.57,0.11,NA
80802386,080802A,0.017,0.006,FALSE,0.011,0.001,0.576,0.091,-0.352,0.796,0.69,0.45,NA
80803772,080803A,1.326,0.295,FALSE,0.738,0.064,26.240,1.691,-13.245,38.973,0.6,0.33,NA
80804456,080804B,1.538,NA,TRUE,0.522,0.045,501.830,6.476,-27.198,493.126,0.34,0.32,NA
80804972,080804A,0.702,0.338,FALSE,0.439,0.038,24.704,1.460,-11.880,37.273,0.26,0.16,2.2
80805496,080805B,1.551,0.340,FALSE,0.620,0.054,29.440,3.566,-6.944,42.221,0.59,0.24,NA
80805584,080805C,4.656,1.341,FALSE,2.087,0.181,65.665,14.676,-25.892,93.609,0.6,0.27,NA
80806584,080806A,0.659,0.290,FALSE,0.310,0.027,2.304,0.453,-3.254,1.138,0.66,0.31,NA
80806896,080806B,0.538,NA,TRUE,0.130,0.011,75.777,4.185,-35.328,64.275,0.33,0.14,NA
80807993,080807A,0.009,0.003,FALSE,0.007,0.001,19.072,0.181,-9.447,27.148,0.39,0.3,NA
80808451,080808A,0.853,0.267,FALSE,0.522,0.045,4.352,0.832,-3.696,4.376,0.85,0.52,NA
80808565,080808B,2.298,0.106,FALSE,0.522,0.045,17.728,1.489,-6.343,28.211,0.55,0.12,NA
80808772,080808C,1.610,0.709,FALSE,1.043,0.090,211.970,6.557,-170.562,146.090,0.68,0.44,NA
80809808,080809A,4.629,NA,TRUE,1.043,0.090,28.160,2.896,-21.022,32.482,0.61,0.25,NA
80810549,080810A,0.102,0.040,FALSE,0.065,0.006,107.457,15.413,-28.134,114.761,0.43,0.28,3.35
80812889,080812A,0.486,0.311,FALSE,0.310,0.027,15.040,0.462,-9.237,18.738,0.61,0.39,NA
80815917,080815A,0.258,NA,TRUE,0.110,0.010,0.832,0.320,-0.730,0.927,0.62,0.52,NA
80816503,080816A,0.152,NA,TRUE,0.033,0.003,64.769,1.810,-1.421,84.710,0.45,0.18,NA
80816989,080816B,0.083,0.019,FALSE,0.039,0.003,4.608,0.453,-0.141,6.805,0.59,0.27,NA
80817161,080817A,0.243,0.070,FALSE,0.110,0.010,60.289,0.466,-23.013,89.108,0.15,0.07,NA
80817720,080817B,0.043,0.018,FALSE,0.023,0.002,4.416,0.363,-2.274,6.526,0.59,0.31,NA
80818579,080818A,0.229,0.070,FALSE,0.078,0.007,59.329,8.749,-28.682,85.806,0.5,0.17,NA
80818945,080818B,0.493,NA,TRUE,0.155,0.013,13.376,0.410,-7.141,19.445,0.45,0.3,NA
80821332,080821A,0.305,0.118,FALSE,0.155,0.013,5.888,0.264,-4.199,7.503,0.29,0.15,NA
80823363,080823A,0.675,0.207,FALSE,0.310,0.027,43.457,1.717,-5.181,63.888,0.34,0.15,NA
80824909,080824A,0.117,0.019,FALSE,0.046,0.004,7.424,2.005,-5.754,7.825,0.57,0.22,NA
80825593,080825C,0.248,NA,TRUE,0.023,0.002,20.992,0.231,-1.418,32.569,0.5,0.07,NA
80828189,080828B,0.135,NA,TRUE,0.078,0.007,3.008,3.329,-1.621,4.379,0.66,0.8,NA
80829790,080829A,1.534,NA,TRUE,0.310,0.027,7.680,0.377,-4.122,11.162,0.52,0.19,NA
80830368,080830A,0.294,0.220,FALSE,0.184,0.016,40.896,5.069,-21.972,59.788,0.38,0.24,NA
80831053,080831A,0.017,NA,TRUE,0.004,0.001,0.576,1.168,-0.576,0.572,0.88,0.53,NA
80831921,080831B,0.797,0.349,FALSE,0.522,0.045,74.497,1.243,-32.933,106.344,0.41,0.27,NA
80904886,080904A,0.193,0.041,FALSE,0.078,0.007,17.344,1.385,-9.587,23.359,0.31,0.13,NA
80905499,080905A,0.012,0.003,FALSE,0.008,0.001,0.960,0.345,-0.539,1.371,0.87,0.56,0.1218
80905570,080905C,0.447,0.245,FALSE,0.310,0.027,26.624,2.896,-19.918,32.523,0.36,0.25,NA
80905705,080905B,3.071,NA,TRUE,0.738,0.064,105.984,6.802,-23.660,123.652,0.78,0.34,2.374
80906212,080906B,0.173,0.024,FALSE,0.065,0.006,2.875,0.767,-1.426,4.294,0.27,0.1,NA
80912360,080912A,4.072,NA,TRUE,0.620,0.054,16.384,2.896,-11.184,21.412,0.77,0.17,NA
80913735,080913B,0.124,0.090,FALSE,0.065,0.006,41.217,7.281,-20.617,61.371,0.52,0.28,NA
80916009,080916C,0.160,NA,TRUE,0.039,0.003,62.977,0.810,-14.295,87.070,0.24,0.11,NA
